Org_Name,Industry,VM_Count,VM_Type,Database_Type,Storage_TB,Network_Bandwidth,Security_Level,Performance_Score,Cost_Per_Month
Org_1,Gaming,15,Standard_F4s_v2,SQL,94.13,0.74,Medium,71,14514.64
Org_2,E-commerce,9,Standard_B2ms,NoSQL,81.34,6.34,Medium,63,6562.91
Org_3,Education,8,Standard_F4s_v2,MySQL,79.07,7.32,Low,60,13531.25
Org_4,Gaming,40,Standard_D2s_v3,SQL,70.0,6.84,Low,75,6676.39
Org_5,Education,13,Standard_B2ms,NoSQL,10.79,10.0,Medium,82,15460.74
Org_6,Finance,20,Standard_B2ms,PostgreSQL,17.64,8.58,Low,88,47212.7
Org_7,Education,44,Standard_F4s_v2,NoSQL,78.72,6.4,High,81,10896.97
Org_8,E-commerce,30,Standard_B2ms,SQL,60.32,7.09,High,74,22101.02
Org_9,Finance,44,Standard_B2ms,NoSQL,80.62,1.25,High,54,46974.87
Org_10,E-commerce,3,Standard_D2s_v3,NoSQL,3.79,1.01,Medium,71,3743.44
Org_11,E-commerce,31,Standard_F4s_v2,PostgreSQL,73.42,0.66,Medium,61,13921.15
Org_12,E-commerce,40,Standard_B2ms,NoSQL,83.03,2.33,High,70,10117.98
Org_13,Finance,10,Standard_D2s_v3,NoSQL,78.13,5.33,Low,50,24001.76
Org_14,Finance,32,Standard_F4s_v2,PostgreSQL,24.15,5.77,High,58,2987.8
Org_15,E-commerce,37,Standard_B2ms,PostgreSQL,25.37,6.63,High,99,7657.15
Org_16,E-commerce,32,Standard_F4s_v2,PostgreSQL,59.02,6.81,Low,60,12087.57
Org_17,Gaming,9,Standard_F4s_v2,NoSQL,30.88,9.11,Low,76,35178.03
Org_18,Gaming,12,Standard_F4s_v2,MySQL,48.92,7.02,Medium,51,10421.3
Org_19,E-commerce,8,Standard_F4s_v2,PostgreSQL,91.96,4.11,Low,83,34482.65
Org_20,Education,1,Standard_F4s_v2,PostgreSQL,79.36,4.95,High,87,25380.08
Org_21,E-commerce,47,Standard_B2ms,NoSQL,97.57,1.67,Medium,54,16236.3
Org_22,Healthcare,17,Standard_D2s_v3,MySQL,25.37,7.87,High,52,27117.18
Org_23,Healthcare,48,Standard_B2ms,SQL,36.15,0.73,Medium,74,36703.3
Org_24,E-commerce,11,Standard_F4s_v2,PostgreSQL,98.76,2.62,Medium,87,33857.11
Org_25,Healthcare,32,Standard_D2s_v3,NoSQL,56.16,2.67,Medium,62,10589.95
Org_26,Education,1,Standard_D2s_v3,PostgreSQL,32.56,1.54,High,65,42020.88
Org_27,E-commerce,19,Standard_B2ms,SQL,39.9,2.48,High,68,13184.58
Org_28,E-commerce,10,Standard_F4s_v2,SQL,8.38,2.55,Medium,68,11974.86
Org_29,Education,19,Standard_D2s_v3,NoSQL,93.0,3.38,Medium,82,32751.54
Org_30,Finance,36,Standard_D2s_v3,PostgreSQL,44.51,3.17,High,63,38120.22
Org_31,Finance,49,Standard_F4s_v2,NoSQL,34.3,8.38,Medium,58,41132.86
Org_32,Healthcare,33,Standard_B2ms,NoSQL,99.6,0.91,Low,78,2408.2
Org_33,Healthcare,31,Standard_F4s_v2,SQL,15.6,1.06,High,71,25710.62
Org_34,Finance,32,Standard_D2s_v3,MySQL,90.76,1.71,High,71,43490.9
Org_35,E-commerce,7,Standard_D2s_v3,MySQL,59.35,0.64,High,78,32302.92
Org_36,Healthcare,32,Standard_F4s_v2,SQL,63.66,8.07,Medium,60,27255.42
Org_37,Education,26,Standard_B2ms,NoSQL,27.24,9.36,High,59,31860.53
Org_38,Education,40,Standard_B2ms,NoSQL,51.38,3.14,High,64,26608.09
Org_39,Healthcare,39,Standard_F4s_v2,MySQL,37.33,9.5,High,79,45033.91
Org_40,Education,50,Standard_D2s_v3,MySQL,8.35,7.21,Medium,86,47777.49
Org_41,Education,21,Standard_B2ms,SQL,13.01,0.82,Medium,67,32017.61
Org_42,Education,48,Standard_F4s_v2,PostgreSQL,93.41,6.1,High,87,22918.47
Org_43,E-commerce,41,Standard_D2s_v3,PostgreSQL,73.88,6.35,High,85,18825.49
Org_44,Healthcare,2,Standard_D2s_v3,MySQL,69.83,4.36,High,54,13870.09
Org_45,Education,42,Standard_F4s_v2,NoSQL,23.12,4.2,High,74,2147.63
Org_46,Gaming,21,Standard_D2s_v3,MySQL,30.51,8.25,Medium,79,33973.46
Org_47,Healthcare,33,Standard_D2s_v3,PostgreSQL,55.61,5.63,Low,52,1322.34
Org_48,Finance,45,Standard_D2s_v3,MySQL,5.42,8.98,Medium,71,44699.64
Org_49,Healthcare,15,Standard_B2ms,SQL,49.05,7.06,Medium,51,41949.85
Org_50,Healthcare,12,Standard_D2s_v3,MySQL,73.34,6.21,Low,73,30143.84
